Field name,Is local?,Source code line,Containing class,A method that uses it,Ordered recommendations
row,true,453,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,Changes the type from java.util.ArrayList to fastList(EclipseCollections)
combined,true,383,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileMultiplicationIndirection,Changes the type from java.util.ArrayList to fastList(EclipseCollections)<nodeCachingLinkedList(ApacheCommonsCollections)
combined,true,497,org.apache.commons.math3.analysis.differentiation.DSCompiler,compileCompositionIndirection,Changes the type from java.util.ArrayList to fastList(EclipseCollections)<nodeCachingLinkedList(ApacheCommonsCollections)
derivatives,false,83,org.apache.commons.math3.analysis.differentiation.SparseGradient,<init>,Changes the type from java.util.Map to hashedMap(ApacheCommonsCollections)<unifiedMap(EclipseCollections)<concurrentHashMap<concurrentHashMap(EclipseCollections)<hashMap<treeMap<synchronizedLinkedHashMap<synchronizedUnifiedMap(EclipseCollections)<hashtable<synchronizedHashMap<linkedHashMap<concurrentSkipListMap<synchronizedTreeMap<staticBucketMap(ApacheCommonsCollections)
pointsAndWeights,false,94,org.apache.commons.math3.analysis.integration.gauss.BaseRuleFactory,getRuleInternal,Changes the type from java.util.Map to hashedMap(ApacheCommonsCollections)<unifiedMap(EclipseCollections)<hashMap<concurrentHashMap(EclipseCollections)<concurrentHashMap<treeMap<synchronizedUnifiedMap(EclipseCollections)<synchronizedLinkedHashMap<linkedHashMap<hashtable<synchronizedHashMap<concurrentSkipListMap<synchronizedTreeMap<staticBucketMap(ApacheCommonsCollections)
pointsAndWeightsDouble,false,63,org.apache.commons.math3.analysis.integration.gauss.BaseRuleFactory,getRule,Changes the type from java.util.Map to hashedMap(ApacheCommonsCollections)<unifiedMap(EclipseCollections)<hashMap<concurrentHashMap(EclipseCollections)<concurrentHashMap<treeMap<synchronizedUnifiedMap(EclipseCollections)<synchronizedLinkedHashMap<linkedHashMap<hashtable<synchronizedHashMap<concurrentSkipListMap<synchronizedTreeMap<staticBucketMap(ApacheCommonsCollections)
abscissae,false,113,org.apache.commons.math3.analysis.interpolation.FieldHermiteInterpolator,addSamplePoint,Changes the type from java.util.List to fastList(EclipseCollections)<arrayList<vector<synchronizedFastList(EclipseCollections)<synchronizedArrayList<treeList(ApacheCommonsCollections)<copyOnWriteArrayList<nodeCachingLinkedList(ApacheCommonsCollections)<linkedList<synchronizedLinkedList
topDiagonal,false,124,org.apache.commons.math3.analysis.interpolation.FieldHermiteInterpolator,addSamplePoint,Changes the type from java.util.List to fastList(EclipseCollections)<arrayList<vector<synchronizedFastList(EclipseCollections)<synchronizedArrayList<treeList(ApacheCommonsCollections)<copyOnWriteArrayList<nodeCachingLinkedList(ApacheCommonsCollections)<linkedList
bottomDiagonal,false,109,org.apache.commons.math3.analysis.interpolation.FieldHermiteInterpolator,addSamplePoint,Changes the type from java.util.List to treeList(ApacheCommonsCollections)<arrayList<fastList(EclipseCollections)<synchronizedFastList(EclipseCollections)<synchronizedArrayList<vector<copyOnWriteArrayList<nodeCachingLinkedList(ApacheCommonsCollections)<linkedList<synchronizedLinkedList
topDiagonal,false,116,org.apache.commons.math3.analysis.interpolation.HermiteInterpolator,addSamplePoint,Changes the type from java.util.List to fastList(EclipseCollections)<arrayList<vector<synchronizedFastList(EclipseCollections)<synchronizedArrayList<treeList(ApacheCommonsCollections)<copyOnWriteArrayList<nodeCachingLinkedList(ApacheCommonsCollections)<linkedList
bottomDiagonal,false,101,org.apache.commons.math3.analysis.interpolation.HermiteInterpolator,addSamplePoint,Changes the type from java.util.List to treeList(ApacheCommonsCollections)<arrayList<fastList(EclipseCollections)<synchronizedFastList(EclipseCollections)<synchronizedArrayList<vector<copyOnWriteArrayList<nodeCachingLinkedList(ApacheCommonsCollections)<linkedList<synchronizedLinkedList
abscissae,false,105,org.apache.commons.math3.analysis.interpolation.HermiteInterpolator,addSamplePoint,Changes the type from java.util.List to arrayList<fastList(EclipseCollections)<synchronizedFastList(EclipseCollections)<vector<synchronizedArrayList<treeList(ApacheCommonsCollections)<copyOnWriteArrayList<nodeCachingLinkedList(ApacheCommonsCollections)<linkedList<synchronizedLinkedList
